nAtom,nHeavyAtom,nH,nO,nBonds,nBondsO,nBondsS,nBondsKS,C2SP3,NsOH,nHBAcc,MPC2,ATS0se,ATS1se,ATS1pe,ATS1are,ATSC0p,ETA_eta_L,ZMIC0,PEOE_VSA1,SlogP_VSA2,VSA_EState9,bpol,MW,nRot,FilterItLogS,bioavailability
32,18,14,3,33,19,26,29,2,1,2,30,256.291602,259.247328,216.2345,209.6,9.237210341185877,4.8738062275823335,64.66860190717873,9.843390348640755,21.010237607261683,35.73355887359705,17.668898000000002,288.03199966800037,4,-3.5431617876885344,99.0
42,24,18,3,45,27,32,39,6,1,5,40,335.78117999999995,354.83009599999997,298.9565,292.85,9.45765538216114,6.473930019829501,76.69516095633516,14.57353677348254,33.716423663356274,46.205167469765684,25.466726,331.13321965600045,3,-3.056982778410928,65.0
61,32,29,4,63,34,50,56,4,0,6,46,480.3547209999999,496.552662,415.5945,406.63700000000006,14.731354616883149,7.8891155023895445,103.2734444195648,30.16095467341914,63.41364294190394,58.402667279289744,38.50200300000002,465.1830623080008,9,-5.8755965853080845,37.5
31,19,12,3,33,21,23,29,3,2,8,31,259.16568100000006,275.06931000000003,233.073,229.233,6.918583972695867,4.5798638028702205,63.354313134725636,20.68358522064365,48.546904740323896,42.88401231068559,18.844484,285.06286692400033,2,-0.8551394702543116,44.5
121,52,69,13,123,54,121,121,13,4,14,83,933.887568,961.2766,795.1954999999997,780.075,25.23870820391911,18.003056669400905,187.89050153508063,58.48405998681364,149.65028641519538,125.58333333333334,84.81928300000017,747.476891268002,8,-3.0920606045045447,52.5
23,14,9,5,24,15,21,21,2,2,4,22,197.75052000000008,200.52433200000002,169.30899999999997,166.925,4.7023645752597405,3.5770319170152303,50.72539523373969,14.949917743481462,45.86607350223099,44.16666666666666,14.210862999999994,199.04807238799998,2,0.9954472858633674,75.0
50,24,26,1,52,26,40,46,4,0,2,36,368.659877,391.791042,324.768,315.6,12.91316025507552,6.5261619410905976,82.59849020736898,9.636772684650527,31.14106091310112,40.626527849572135,30.039381999999996,343.17029213200067,6,-5.720267862360943,38.1
35,17,18,1,35,17,29,32,1,1,3,25,269.32478199999997,272.330992,225.8435,219.637,9.6750703025084,4.512712298738442,59.50201019435739,16.15698347600922,17.190209053136627,29.647649570630733,19.077726000000002,276.07961855600047,3,-4.106482867996428,97.0
42,25,17,3,45,28,32,39,5,1,5,43,341.138341,358.347038,302.311,295.5080000000001,10.349062243210119,6.455143922886161,78.42652347385761,20.307204250644727,34.77428597155702,44.617341427311665,23.263518999999995,365.0942473040005,3,-3.1538727473712522,90.0
60,27,33,5,61,28,60,60,10,3,7,40,465.4199259999999,478.510022,395.72499999999985,387.004,16.775000365340983,10.166005161491258,89.42054340286295,25.373233742328487,93.28750266588922,59.06300052516767,40.95983100000004,424.1798708360008,7,-1.1981214778145846,88.5
15,11,4,6,14,10,12,12,0,4,2,18,151.32636800000003,125.920612,102.7586,98.51,15.527941915023735,2.9736638325158595,53.78325871125588,19.573646411009896,23.389177333579173,22.499336419753085,22.448828,243.88601646799998,2,1.0968258559113773,1.0
31,20,11,3,33,22,23,29,3,2,8,33,268.44721699999997,278.935678,237.612,233.983,7.030245777057417,4.731235906431358,64.26672042192939,20.68358522064365,54.71858013583421,37.06263995618824,18.954276999999998,303.0534451120003,2,-0.8961881256704902,50.0
55,33,22,0,59,37,31,46,1,0,4,53,416.35793399999983,451.82375199999996,379.44699999999995,367.979,14.064502449461346,6.6443719546392535,106.87722543370494,9.883888251797686,15.592918997886525,54.27552497278136,27.650554,472.1221520640006,4,-9.102578527678656,57.0
31,16,15,3,31,16,24,27,0,0,3,22,243.39392500000008,241.88141000000002,201.093,195.825,8.137647116895485,3.9223995259563513,56.305418353187754,9.473725907600098,18.177238063448453,34.11311682469812,19.898105,242.07097202,4,-3.4589857243137585,95.0
17,9,8,0,17,9,12,15,1,0,2,11,130.01191799999998,130.42676200000002,107.61,103.625,7.384587267595764,2.793981326286258,32.802129943784635,0.0,10.863981965917548,12.055385802469138,12.135655999999996,161.006597936,2,-2.944650346748073,25.0
57,29,28,1,59,31,40,49,0,0,2,40,419.799385,443.72888600000005,368.5005,357.85,14.745804244234874,6.868854317587532,97.96298935679279,9.636772684650527,31.14106091310112,50.7367956464746,32.045796,405.18594219600084,9,-7.4050258424875315,92.5
45,22,23,0,47,24,35,41,3,0,2,33,330.27337299999994,354.0610020000001,294.1425,285.875,11.571696650524311,5.5823441324496725,76.12671589045206,9.799819461700956,32.084766508030015,35.67251327125499,27.003760999999994,314.15497641600064,4,-5.665055933803681,50.5
32,22,10,3,34,24,19,25,0,0,4,34,263.02806100000004,272.216882,231.2207,225.694,7.576913815836876,3.997167943963401,68.42296715132525,5.316788604006331,23.08693218685245,53.581735603706505,14.286069999999995,315.04106886000017,2,-5.263405283488841,94.0
23,14,9,0,24,15,17,20,0,0,1,20,183.08697800000007,190.873776,160.79149999999996,155.95799999999997,6.445922997868433,3.1274010857882084,51.83678834628571,10.633577208012662,19.049067380568985,19.967156714537662,12.328862999999998,229.01735264799999,1,-4.14947169259854,85.0
37,21,16,2,39,23,27,33,2,0,4,32,285.86822199999995,301.645354,251.583,244.05,12.244426879061185,5.223794132060978,67.84921820357737,4.736862953800049,24.52376896599243,38.54180545932364,23.335312,321.0590274320004,3,-4.160766406823603,52.5
33,22,11,3,35,24,20,26,1,1,3,34,267.085405,277.183858,234.168,227.979,8.070770463559333,4.123135373434824,68.00141338893516,10.423315998847038,28.736538244062718,52.57710705887294,14.991276999999998,314.04581989200034,2,-4.248620217861386,91.0
42,25,17,0,45,28,22,34,0,0,2,39,312.58413699999994,340.28706600000004,285.243,276.45,10.572869693352978,4.640208335443386,78.59184841222779,4.5670996477913555,9.551078168738565,42.2124217372134,20.414518999999995,344.10802622400047,4,-6.0159035791868405,0.0
47,29,18,5,50,32,36,42,2,1,6,50,382.3851179999999,400.067734,336.6041,328.524,13.985453586620809,7.265550952993268,92.73999126946545,19.846320666670863,55.151342053953705,63.7302918155725,27.647726000000002,435.06556935600037,4,-4.205655141578429,51.5
42,23,19,0,45,26,32,38,0,0,4,37,316.26227299999994,346.753554,290.7835,283.32899999999995,10.350147849024117,5.2753215503333415,77.6443945687265,15.116608065707286,48.862136853785714,39.43457134374852,24.700933,326.12982428800046,0,-4.972066331930064,60.0
43,22,21,4,45,24,37,40,6,0,5,34,332.88501599999995,349.093488,291.2355,284.775,9.811196522145073,6.044615818084477,75.6743961206587,9.473725907600098,49.18363787675312,51.83333333333334,27.985346999999994,303.14705815200057,3,-2.134306920457564,57.0
43,22,21,3,47,26,40,43,5,1,4,42,327.0738159999999,364.034688,303.92900000000003,296.975,10.053967926610184,6.574581563171432,74.71750858801761,19.480163033291284,48.958436660203034,44.75000000000001,26.249347,299.1521435320006,1,-2.461326729645919,70.0
54,29,25,6,56,31,41,48,3,0,6,44,424.1648839999999,440.252108,368.09949999999986,360.35400000000004,12.372218448435651,6.4724028536641445,100.17816794321293,24.264240419206534,34.34636989446164,69.5,34.330175000000004,399.16818752000063,5,-6.054065613747867,47.5
217,107,110,28,217,107,196,196,25,7,28,148,1757.1744369999994,1748.47184,1449.2820000000004,1420.914,57.27914001250105,31.11280382804275,358.19008005181615,95.2816724537827,281.3235875537629,183.98708128292756,162.30077000000026,1638.6279018800021,44,-8.331184302241374,0.0
64,38,26,2,69,43,38,53,1,0,3,61,483.48655199999985,527.68166,443.408,432.083,14.817654456356438,7.3844704917694814,119.22660547713473,15.200676855804016,28.327072906509997,83.0,31.80938199999999,498.20557607200067,4,-8.776948094162952,42.0
25,13,12,1,26,14,19,22,3,0,2,19,189.781716,199.62321599999999,166.872,163.125,5.588166907697759,3.116283737576611,43.39265483952086,4.899909730850478,22.83873996382638,29.66666666666666,15.756483999999995,176.09496300400002,1,-1.9072488760750903,97.0
17,11,6,2,18,12,6,13,0,0,2,16,134.87886,140.67208799999997,118.49849999999998,115.5,4.007524386825529,1.8985581203530768,35.22424784269192,4.417150937053346,0.0,22.593935185185188,8.623242,146.036779432,0,-2.680613037401088,3.0
42,21,21,0,44,23,30,36,1,0,1,31,302.09969999999987,326.592764,271.116,263.525,10.312791286628782,4.848524683632262,72.56382402140018,4.899909730850478,25.540010102117435,39.33333333333333,22.777346999999995,275.16739967200056,3,-5.014318596027734,50.0
41,23,18,4,43,25,33,36,5,0,5,39,332.53415499999994,344.992142,285.4837,276.7076,15.368913807402098,6.428584991660006,75.67084183481232,5.316788604006331,23.001369580792407,17.918969240471846,32.449726,379.04272573600053,3,-3.848060294865169,99.0
29,14,15,2,29,14,28,28,1,0,2,18,231.14375100000007,227.963956,187.7644,181.7474,13.913906264078966,4.93278810605393,47.70933405784829,4.5237471617118175,42.671574262112614,4.104880479969768,28.792105,260.0248197100001,5,-2.710848804330619,74.5
13,7,6,2,13,7,12,12,1,0,3,9,110.03903599999998,110.550564,93.4046,92.85700000000001,2.1086298445890765,1.8126854928416758,24.339948665866128,5.733667477162185,18.55590252301239,21.5,7.483242,102.04292743200001,0,0.2739150336585081,80.0
196,85,111,12,196,85,184,184,17,1,12,121,1485.7000839999996,1503.59586,1245.1619999999998,1220.2910000000002,40.68141079135875,26.772961937556573,288.605693053693,60.67304992681939,226.78570749754144,211.8333333333333,135.1539770000003,1201.8413679920031,15,-8.345688438697879,30.0
53,26,27,3,57,30,53,53,5,1,3,52,399.4206529999999,430.227018,356.867,346.525,13.62766213645279,9.593428804167548,90.35283438174385,5.106527394840706,22.274068098554274,51.965009098289535,29.332588999999995,374.1648724040008,1,-4.1651718924179955,99.0
30,17,13,5,31,18,24,28,3,3,8,26,252.56816400000002,259.98300000000006,219.119,216.658,5.6755801950543,4.203481593242073,59.14431490596353,25.790112615484357,49.78944148101849,50.652870370370366,17.925690999999997,243.08552051599997,2,1.3130546669333616,20.0
33,23,10,5,35,25,20,26,0,0,6,35,280.316988,289.126996,246.9648,243.2189,6.728192082280907,4.165635508871259,76.13545590106888,4.417150937053346,34.62987479990967,60.970527919501144,16.950069999999997,314.06511942000026,4,-3.298663253595241,70.0
29,17,12,2,30,18,16,22,0,0,4,26,226.9583130000001,235.933688,196.0744,190.646,9.289222095903307,2.8871724105956815,54.91066199970217,11.46733495432437,8.417796984328938,24.717416855631146,17.554484,248.06194862400002,2,-2.916432133684069,84.0
216,115,101,26,219,118,183,192,29,5,24,159,1742.0544439999994,1749.1111039999996,1465.266,1440.755,44.149482891245974,30.294993381019303,390.8496268586556,121.57273273251968,247.65226978282246,336.99999999999983,126.68990700000019,1619.710366352002,35,-10.298454551992373,0.0
62,32,30,2,66,36,47,56,3,0,3,51,459.79507199999983,499.71090399999986,416.3525,405.708,14.814430863468385,8.064169344062801,107.00917439717138,15.370440161812713,37.04824064245263,65.58333333333334,33.84021,426.23072820000084,7,-6.315473687066878,17.0
75,38,37,7,78,41,63,69,5,1,8,58,584.987869,613.4609800000002,509.9306,498.5078,19.566255355862587,10.341381131086802,127.67898644987127,30.36757233740937,74.76585751623506,68.27725258467811,51.560659000000065,547.235221524001,11,-3.9696885650600353,37.0
59,33,26,2,62,36,44,53,0,1,9,50,459.5057739999999,489.02368600000005,410.3035,401.033,16.396302560956645,7.79145304029737,107.41306902717243,20.640014333703846,70.19621641196011,67.4866139305865,37.90138200000003,487.15572175200083,7,-6.121126864915737,15.0
43,28,15,4,46,31,31,34,0,1,6,44,343.1395679999999,363.98207599999995,307.9061,301.25789999999995,9.567152172478604,6.089185313418291,87.40111062018312,10.423315998847038,22.64232257552243,73.0,19.362105,373.1062559600004,2,-2.2799241563577817,70.0
87,39,48,8,86,38,81,81,13,3,9,45,679.0227160000002,678.2816240000001,563.5183,554.7760000000002,16.924826250911806,12.484486976830606,131.7053320827372,16.367244685174846,99.61584933146092,106.83333333333334,54.77393600000008,560.3533624960013,23,-3.4804810412411338,5.0
63,32,31,6,67,36,61,61,6,1,7,59,487.09721599999983,516.8660639999999,430.61300000000006,420.55,14.458185963781078,10.331233439855096,111.14842429993469,14.580253302440806,52.893807912272905,77.25,38.315417000000025,441.2151377120008,3,-3.5265432721352523,68.0
65,33,32,5,67,35,52,58,7,1,5,47,498.20611599999984,516.308284,430.00800000000004,420.329,14.892441319392985,8.540685160415888,112.1439882430353,14.743300079491231,59.129388288815754,79.99999999999999,38.722624000000025,452.2311221240009,11,-4.914522889007887,55.0
60,32,28,3,63,35,44,53,1,0,6,51,464.0171569999998,494.193748,412.5771,403.2078,15.880051319611725,7.423330323169282,105.13786315769308,20.10058658665449,67.669479122735,55.842660423028676,41.88379600000003,456.19435975600084,6,-5.206630791209734,85.0
53,32,21,8,56,35,45,48,3,5,9,57,438.7312049999999,454.3480540000001,382.053,374.283,12.594338623821276,8.054206554747264,108.48034438321251,31.266304451365713,73.64445193262141,89.35415158569506,25.321347,464.0986433120006,2,-1.5088450735343055,68.0
27,10,17,1,26,9,25,25,4,0,1,10,198.09136800000005,194.910396,159.5675,156.18300000000005,5.5218605844566655,3.8704328507644172,34.74392001359697,5.733667477162185,5.9071797293515065,24.0,17.352518999999994,143.131014164,5,-1.8874088200578627,68.0
42,20,22,0,44,22,32,38,3,0,2,29,303.93876799999987,329.791512,273.8005,266.879,9.96423386222762,5.134547459447205,70.25791628857925,10.216698334856806,20.13718479450234,36.66666666666666,24.350553999999995,266.17829870400027,4,-5.245425654829594,73.75
138,74,64,12,141,77,117,123,17,1,15,103,1097.3766259999998,1120.049941,937.5454,920.3716,34.485920266585964,20.084360383143988,243.7861856838209,75.89229473954644,154.37783095256862,201.81266958010892,80.20324800000013,1068.4269554880016,19,-6.299980554349332,1.0
53,23,30,1,56,26,53,53,9,1,1,41,380.7969879999998,414.42928,341.5925,332.2000000000001,12.855920452562456,9.170175507799042,84.3102229476328,5.106527394840706,10.707578205824394,44.16666666666667,30.09621,310.22966558000087,1,-4.071456643104212,76.0
32,16,16,0,32,16,26,29,2,0,1,22,256.183252,248.482452,208.3165,204.104,7.6935563345419995,4.316081946826707,55.944076150578354,5.316788604006331,12.586597235060534,10.103422382842023,19.960311999999995,231.12348417200002,4,-4.369691618838779,89.0
60,30,30,5,60,30,51,54,7,1,4,38,471.2178579999999,468.37410800000004,389.3865,379.729,15.22765438606833,8.533020537282791,101.59357687716982,20.06008868349757,60.638135019109605,66.19159057799887,37.736210000000014,460.1531774200008,14,-5.904830579956057,48.0
23,10,13,0,23,10,17,20,2,0,1,12,165.4063120000001,171.48701599999995,141.3605,137.933,5.352844751755215,2.545381594516764,36.02783268882323,5.733667477162185,6.0418408291479615,20.5,12.471690999999998,135.104799416,2,-2.089585607883201,81.25
45,20,25,1,48,23,42,45,7,0,2,35,327.24423999999993,360.050028,298.095,290.5250000000001,10.611962113877775,6.729042212300736,70.7156462111738,9.636772684650527,31.643976489865736,34.91666666666667,28.526174999999995,271.1936144200004,1,-4.0910246971649835,11.0
61,29,32,2,64,32,51,57,2,0,3,44,450.61045199999984,483.922088,401.9055,392.05000000000007,14.30478024740774,8.177554944551867,99.58563242825859,9.636772684650527,61.64454514964116,57.58333333333332,38.126624000000014,392.24637826400084,6,-4.7976186502839,87.0
24,12,12,6,24,12,24,24,4,5,6,17,205.97496,205.119032,171.02649999999997,169.5,4.204251653093999,3.774159699020504,48.0,30.269499928003572,62.845411219044855,41.66666666666666,13.774483999999996,180.063388104,1,2.6146799685246633,99.0
46,22,24,4,46,22,38,41,2,1,5,29,355.7015279999998,358.77816,298.1545,292.408,9.925137860179824,5.564834000793782,75.18478512873739,20.476967556653413,42.09439765787891,56.5,28.688967999999992,308.1736072480007,8,-3.5506284383243605,35.0
50,27,23,5,54,31,45,48,5,0,6,49,389.83572399999986,421.0991,352.51199999999994,344.525,11.577960957424581,7.5162398668645025,92.16199678827776,19.110498592250625,48.680722299988496,61.58333333333333,31.727760999999994,369.1576228360006,2,-3.0186749979399075,1.0
29,20,9,4,29,20,20,23,0,1,3,29,240.3738400000001,234.702896,199.5715,192.733,53.11525634485586,4.542981677093148,109.9018703411106,15.740104602853368,22.890192141495568,50.20825536659108,23.812863,613.7696507680002,3,-5.075709083831032,5.0
33,20,13,1,35,22,21,27,0,0,2,31,253.81890099999998,269.06681000000003,226.0575,219.45,8.34069987347697,3.870272511522064,62.747592408070204,4.899909730850478,25.21129312071197,39.50274516390919,17.269690999999998,284.0716407160004,1,-4.7907584551463405,87.5
21,14,7,2,22,15,13,16,0,0,3,23,175.27955400000005,178.79710999999998,149.3521,144.2748,7.805080370819143,2.7123024674014933,45.75231300956216,0.0,14.253416770086208,13.80367047745024,15.898448999999998,229.99167614400002,0,-3.2362359592873204,90.0
30,19,11,2,31,20,18,24,1,1,2,27,240.52664600000008,244.069844,204.945,198.454,8.362152902981368,3.6483009268304616,63.10779273465015,10.423315998847038,11.075832682792557,37.31788341800007,13.493276999999996,295.01668395200034,4,-4.908041209016379,77.0
47,30,17,5,50,33,36,42,2,1,6,52,387.7422789999998,402.492452,339.0521,330.0990000000001,14.630708103680634,7.507691470469908,96.79642448165278,19.846320666670863,55.151342053953705,61.25969201142446,27.154519,469.02659700400045,4,-4.9381242288480465,68.75
29,17,12,3,31,19,20,27,3,1,6,27,236.88842000000002,253.24148399999999,214.227,211.02900000000002,5.762119806799863,4.285727778156996,57.265434703110344,14.827368869587962,37.3364109577349,41.43032407407408,19.202484,236.09094024400002,2,-1.1709053984118487,40.0
48,23,25,2,51,26,47,47,9,1,3,41,355.67698799999994,382.56469599999997,317.0615,308.625,11.367301347670312,8.31818056881499,79.27682408064061,5.106527394840706,16.490823152189332,50.83333333333334,26.518175,311.1885290400008,1,-4.008262081695165,92.0
26,18,8,3,27,19,14,20,0,2,2,27,223.829568,219.285004,186.445,182.65,6.432746925317536,3.0437373781570183,56.93685890262864,10.213054789681411,16.182360077633266,32.38633114974385,11.119655999999996,250.04415055599998,2,-3.3689385149492708,85.0
118,54,64,13,125,61,123,123,22,5,13,96,912.71516,977.1349640000001,810.8725,794.25,25.91222077605205,20.29840400729352,197.45519585832284,58.69067765080386,123.61961910314064,122.75,77.22524800000015,764.4346921080019,7,-2.256759969802085,95.0
119,55,64,14,126,62,124,124,22,6,14,98,926.066876,989.522384,821.6025,805.2,25.963885842659483,20.4464246541718,201.7746028213092,63.79720504564457,134.83011288572965,128.58333333333337,77.22524800000015,780.4296067280017,7,-1.426045239754056,70.0
45,22,23,3,49,26,43,46,7,1,4,42,340.5107439999999,378.269952,315.149,307.975,10.42304260679098,7.054857950137283,75.59540720496423,19.480163033291284,48.958436660203034,43.75,28.255761,301.16779359600065,1,-2.928497377329085,20.0
80,43,37,5,87,50,68,77,9,1,6,79,615.1869559999998,676.007064,566.6695,554.2330000000002,18.088602759684484,11.774467011522741,142.12981125575826,25.207113981495198,92.4105131078675,96.5,47.72865900000005,583.279469284001,4,-5.26425477776826,1.0
49,24,25,3,50,25,37,43,4,2,4,33,369.028704,382.262508,317.11400000000003,309.754,11.453974938967345,5.950762194862813,82.42662264781245,15.529843393687742,28.58289697110689,57.00000000000001,26.51817499999999,327.1834436600007,8,-4.614576152535255,18.5
23,14,9,2,23,14,16,19,0,1,2,19,189.38713800000008,184.660476,154.88150000000005,150.125,6.7838361849988695,3.0233525350539545,50.06666445933199,10.006437125691184,22.89764879711946,28.697359186472944,12.626862999999995,233.001033888,2,-2.1770998912716566,90.0
55,29,26,4,57,31,43,49,2,0,6,43,423.12540099999984,442.31469599999997,368.7045,360.0,15.557814016875382,6.9990685068171175,95.9995450028806,19.27354536930105,57.175015454359205,64.95791265117157,37.171382000000015,414.16132831200065,6,-4.442091779311818,39.0
14,6,8,1,13,5,13,13,1,1,3,5,107.208674,101.743176,81.905,79.38600000000001,8.874051884053713,2.8532606051649645,27.2721042965716,5.106527394840706,22.71620099608259,9.015046296296298,12.945655999999998,124.001656876,2,-0.3401833157072301,0.0
40,19,21,1,41,20,29,35,1,0,2,25,292.82986800000003,308.957952,256.1475,249.77500000000003,9.550967892068774,4.259923502667805,65.75874944074505,9.636772684650527,32.14689206663036,37.16666666666666,24.513347,255.16231429200002,6,-4.1140881466196335,61.0
32,18,14,4,33,19,21,29,1,2,8,28,263.67706400000003,271.12948400000005,228.826,225.825,6.155824412185874,4.112114244921963,61.26879932325913,14.780154437472765,41.6091806062639,48.33095899470899,22.050898,254.101504928,3,0.15904327684704805,90.0
76,36,40,4,79,39,68,74,6,4,12,52,584.730896,622.7771799999999,519.8975,511.05,15.35128095082316,11.007955943214224,121.41595265002864,40.025748502764735,119.14760276850396,80.99999999999999,51.528280000000066,504.3172517600012,12,-3.460373016406323,33.9
136,58,78,14,139,61,138,138,14,4,16,92,1048.0691599999998,1089.220636,901.5885,884.929,28.08144423082997,20.384646766363247,206.87363318059968,67.95778589441375,175.95742936225204,133.58333333333334,97.0221460000002,834.5453051760022,12,-3.6211585426079314,10.0
54,25,29,1,55,26,42,48,3,0,3,36,397.14291599999984,414.661792,343.6775,335.55800000000005,12.339383241620832,6.512163441011679,86.45191069587592,5.733667477162185,34.41950604535769,53.91666666666668,32.24100299999999,339.2310625480008,8,-4.577234932858053,86.5
62,30,32,4,63,31,49,55,4,0,4,40,475.0956079999999,491.242924,409.7085,401.85,13.406412499339352,7.022070072634934,101.07904518015782,19.27354536930105,49.17115638075731,65.00938820473858,44.150624000000036,416.2412583441809,9,-3.2513057946287005,6.325
36,16,20,0,35,15,33,33,0,0,4,18,265.15310800000003,266.362585,217.6944,211.4036,19.46396304310222,6.203536058440352,66.00710019346019,9.799819461700956,44.619913256469204,16.625340136054422,28.40414,296.0509326400005,4,-2.237562852128701,80.0
111,58,53,14,116,63,98,104,9,4,14,100,877.44644,912.6967720000001,761.5169999999998,745.654,25.09844163515159,16.252800068424822,206.354292937365,49.427212952369395,110.24434318447555,151.41666666666669,66.7599710000001,807.3466053760014,8,-5.148012952378903,0.0
69,23,46,1,68,22,68,68,20,1,1,21,488.29241199999984,498.14932800000014,405.3425,395.2,15.013298944612208,11.07595739804229,88.05238332088818,5.106527394840706,11.713409359353626,39.50000000000001,46.147522000000045,326.3548660920013,20,-8.167729577464542,0.0
56,29,27,5,57,30,41,47,1,0,6,42,439.519518,449.876296,371.8127,361.9746,18.136555821727978,6.368174022245669,96.70955927054857,9.636772684650527,60.99110882554642,36.72500948621211,44.984589000000035,441.13921296400076,11,-5.398809103050767,96.0
44,24,20,3,48,28,36,42,7,0,4,42,338.097504,370.772816,310.6735,303.379,10.156113827443637,6.769284729946878,79.15784461730362,9.720841474747257,46.36884293807127,53.16666666666666,25.81614,324.1473925000006,2,-3.2643741848237715,75.0
54,30,24,2,58,34,36,50,4,0,5,49,416.92172499999987,452.504418,380.219,371.358,12.86804551769037,7.564955421549492,97.9007050087056,14.867866772744891,43.63633528606533,56.85815830417588,32.592968,425.1618526880007,5,-5.268776524598802,15.0
57,28,29,3,60,31,47,53,4,0,4,43,426.06462399999987,456.324788,379.36349999999993,370.025,13.505520425498032,7.5906731518510755,96.13012250067335,9.473725907600098,37.99226257159563,57.16666666666666,35.14300300000001,379.2147437880008,6,-5.840589977313907,99.5
42,21,21,0,44,23,31,37,1,0,2,31,303.3030329999999,327.751576,271.269,263.225,13.05700018234307,5.478351456574536,72.4707581986643,4.899909730850478,25.540010102117435,36.7221851904342,25.237347,295.13947067200064,3,-5.306445073314487,30.0
58,28,30,2,61,31,48,54,1,0,3,43,429.63300799999985,462.14630800000003,384.183,374.80000000000007,13.605124264709652,7.693694902359822,95.63814027488579,9.636772684650527,61.64454514964116,56.08333333333333,36.12021000000001,378.23072820000084,6,-5.219789515229799,64.0
42,21,21,1,44,23,31,37,1,0,2,31,307.9109,331.5795,275.655,268.525,10.153932943962117,4.9198047402038805,71.44365011813501,9.636772684650527,25.540010102117435,40.33333333333334,24.513347,279.1623142920006,3,-4.942662838288157,29.5
28,17,11,5,29,18,21,26,3,2,6,27,244.92960000000005,244.44626,207.26,204.77900000000002,5.6279222051701066,4.202016652577352,57.351684238681024,14.949917743481462,38.07603212166488,42.59999149659865,17.900277000000006,246.065199672,1,0.059354753497072615,40.0
68,39,29,11,72,43,57,63,7,5,12,67,555.4999000000001,580.8809880000001,487.266,478.18300000000005,15.188533609650284,9.90311683418602,138.95919454607937,45.47689331276585,86.73990246405228,109.41666666666669,36.33500300000002,543.1740607480007,5,-3.008689530206607,5.0
56,32,24,8,59,35,48,51,2,5,9,57,454.35148799999985,473.699116,397.3275,389.958,12.361234431071999,8.231047140115589,110.54355295952627,31.266304451365713,79.74841832036972,93.58333333333331,27.820968,444.15326572800063,2,-0.9189462073060506,96.5
42,20,22,1,43,21,31,37,0,0,3,28,309.749968,326.076516,270.759,264.375,9.740349630227618,4.571120374804002,68.57757144749489,9.636772684650527,37.13087058757756,40.08333333333333,26.656553999999996,270.1732133240004,6,-4.276636496912394,24.3500005
50,28,22,2,53,31,34,44,3,0,4,43,387.0058999999998,409.77699999999993,344.25699999999995,336.404,11.678988341899677,6.640028458817401,89.35877706409485,4.9839785209472085,39.868502063691714,52.46893827265935,28.909554,379.16960516400064,6,-5.155546982556205,75.0
57,27,30,3,63,33,60,60,8,0,3,58,422.58145199999984,472.33946,391.9605,381.25,13.693285913117373,10.809884832017698,95.65066217771177,4.736862953800049,17.353601045300483,53.58333333333333,33.56821,366.2194948200008,0,-4.3134937401015865,76.0
60,29,31,4,62,31,49,55,1,0,5,41,452.85326799999984,477.971164,397.22049999999984,388.354,13.955762350854185,7.773204919636128,100.42588224059786,24.264240419206534,32.97228426396425,58.83333333333334,38.61341700000003,397.2253084720009,9,-7.1233482227219245,61.5
26,15,11,5,26,15,19,22,2,4,5,21,218.72796400000004,216.835316,181.8325,179.483,5.383769494618655,3.1178112776516103,53.946059039742295,26.159777056525012,32.43725569646263,50.33333333333333,11.333276999999995,213.063722452,3,0.6624530237077906,90.0
40,21,19,1,42,23,26,35,2,0,3,30,295.677305,318.434056,264.4165,257.05400000000003,12.430990938168774,5.074265615544255,69.80469986249723,10.053651557806381,13.592428388589767,39.0800061675905,23.826933,297.11873522800056,6,-5.373223182588418,50.0
67,37,30,2,71,41,62,65,7,0,2,67,548.2545560000002,555.5810200000002,468.4745,458.458,16.317227067199852,11.484232337436303,122.5421689382947,10.633577208012662,17.856200287850967,29.632472440996327,39.650210000000015,528.2211475200008,2,-7.0122261091459075,60.0
51,23,28,2,54,26,50,50,6,0,2,42,373.17125999999985,400.333848,330.684,321.5,12.244019994720707,8.568133703668638,82.6450661635207,0.0,11.566489892729876,47.83333333333332,29.825795999999997,312.20893013600084,1,-3.9154297069315738,28.0
28,12,16,1,28,12,22,25,0,1,1,17,206.45393600000008,214.13604,177.0155,173.39999999999995,6.256968477821715,2.639939588656862,41.78747429213414,5.106527394840706,25.74662776610766,25.53333333333333,18.331312,166.12264055209,2,-2.83050368082654,0.0
30,21,9,2,32,23,24,27,2,0,2,36,263.014093,260.924578,222.928,217.679,8.178806394215366,5.174286409537512,64.85367380877636,4.736862953800049,12.269538588381891,19.028084337644525,16.051862999999994,315.02739086800017,0,-4.330134402970328,41.666666666666664
24,12,12,2,23,11,22,22,2,1,3,15,204.971368,189.68978,159.4485,157.816,4.469769428427333,3.5152370608635195,38.339850002884624,16.573862349165076,29.584959085947666,21.528123582766444,13.992483999999996,182.08668406400002,5,-0.4058877366477835,55.0
48,22,26,1,50,24,40,46,1,0,5,32,357.027096,384.54984,320.2035,313.675,10.41852012211725,6.214839336338662,75.84994397152205,19.10378206329236,60.89144943494236,39.18421296296296,34.089382,302.21066145200075,5,-3.258408614738319,50.0
49,21,28,0,50,22,38,44,2,0,0,30,349.12894799999987,370.10588,305.133,297.2,11.74184310308596,5.3625782092508025,77.03970257038364,4.483030857694624,31.16497205810954,37.43435799319728,30.369795999999994,282.22162631609075,6,-5.907513026859228,1.0
