nAtom,nHeavyAtom,nH,nO,nBonds,nBondsO,nBondsS,nBondsKS,C2SP3,NsOH,nHBAcc,MPC2,ATS0se,ATS1se,ATS1pe,ATS1are,ATSC0p,ETA_eta_L,ZMIC0,PEOE_VSA1,SlogP_VSA2,VSA_EState9,bpol,MW,nRot,FilterItLogS,bioavailability
28,11,17,0,30,13,30,30,6,0,1,21,199.82068400000009,222.579092,183.308,178.68300000000005,6.340410343098679,5.018499800504316,40.462728289637425,5.733667477162185,5.538925252383344,18.25,16.484519,151.136099544,0,-1.5689810339594554,88.0
36,18,18,1,37,19,31,34,6,1,3,26,273.43797,286.006072,237.8285,231.687,15.008545783196555,5.682547088888726,70.99902437559123,16.156983476009223,17.25233461173697,29.952701959469643,20.817725999999997,375.97858739600053,3,-4.467241983344046,77.0
63,30,33,5,65,32,61,61,6,0,7,48,486.16748499999983,504.63242,419.2455,410.1,16.635472875563647,9.981776521008658,100.2086707897112,19.27354536930105,76.07117717188525,69.26847272087846,46.20183100000005,439.2140921560009,5,-2.6445565182737822,0.0
27,15,12,1,28,16,16,22,0,0,3,21,207.523868,220.95096,185.7921,182.3829,5.892563398845185,2.5614884918891025,49.878316546513595,10.470530430962237,12.208479349578571,31.809166666666666,14.914483999999995,202.09748842409002,2,-2.0622260696605994,58.0
27,12,15,3,26,11,25,25,1,2,4,13,214.0070340000001,207.015127,168.89350000000005,165.1934,14.345170330845187,4.228951760948447,38.38948806658411,20.83727928667347,35.173946029989466,24.64462522045855,23.756104999999994,214.05409997,7,-0.5827382165476855,99.5
83,40,43,13,85,42,84,84,16,8,17,61,679.3657919999999,701.8075840000001,585.7794999999999,578.936,15.176332824967227,13.038881171213216,140.27184049831027,88.05112948658092,164.30499987576084,117.99999999999996,49.239901000000074,585.2857364360011,10,4.821580556308406,0.0
46,27,19,3,50,31,31,41,3,1,6,49,356.66170799999986,388.528324,326.587,319.0080000000001,10.479044439207328,6.3939806519719085,86.64104337626182,15.407294519794245,20.44085050994421,63.224755291005295,23.076933,361.14264146800065,1,-5.2395638986761615,49.0
33,17,16,2,34,18,26,29,3,0,3,26,252.62883599999998,261.772408,218.3265,213.537,7.403583844088727,4.387398035510701,56.75146377429321,5.733667477162185,11.814359458703013,42.91666666666667,17.787311999999996,232.121177752,2,-3.4383120059710306,97.5
18,9,9,3,17,8,15,15,2,1,3,9,148.42553999999998,137.769096,114.682,113.133,3.3702202638204986,2.3029862046045824,31.86146172473677,10.84019487200289,23.403834035070073,31.833333333333336,10.194862999999998,131.058243148,4,-0.02188953949404926,60.0
52,25,27,4,53,26,44,47,3,0,6,37,402.34292099999993,414.262016,342.9729,335.092,14.147943861866825,6.865371028665212,82.89130488626974,15.787319034968565,57.76364763944092,41.733562926579935,38.05658900000002,369.17222734400076,7,-3.9396138083381897,48.0
44,21,23,0,46,23,33,39,3,0,1,31,315.5366279999999,340.82802799999996,282.336,274.525,10.76748959186516,5.255082694447884,74.16589840534715,4.899909730850478,25.540010102117435,38.33333333333333,24.783760999999995,277.1830497360006,3,-5.481745354161628,46.5
53,28,25,5,54,29,44,47,0,0,7,39,418.0093969999999,425.738814,355.51649999999995,347.612,12.799645658383017,7.228911802510776,93.63918341708143,25.261044942568663,45.413810416632565,63.355334840768954,32.534175,408.1451995800006,8,-5.0127379501588205,71.0
34,16,18,3,34,16,31,31,3,0,3,23,264.336448,263.48900000000003,218.9825,214.708,7.0458486396621165,5.054113370804261,54.290056229058244,0.0,17.845473971041084,44.08333333333334,21.801725999999995,226.131742436,4,-3.180054046202029,95.0
47,25,22,1,49,27,32,41,0,1,4,37,354.6487769999998,376.803246,314.595,306.504,11.732328708998935,5.610790751322626,82.49772549979541,10.423315998847038,28.07992845846354,47.72532484559953,26.000553999999994,355.1451400040005,6,-6.381189014930505,75.0
50,26,24,5,51,27,37,43,1,1,6,37,392.878125,404.19381200000004,335.4086,327.7328,14.035660514915518,5.870411997701623,87.19920572681252,19.897041906447136,40.33051669678524,47.053000964819276,34.20496800000001,380.1405928680006,9,-4.3544692015450845,99.0
38,22,16,1,41,25,28,34,0,0,4,35,291.7164449999999,319.156254,268.2415,261.30400000000003,9.451289732495995,5.018061865109363,70.88632022795395,14.953561288656855,36.914555140258045,38.90705871546148,21.717312,313.09818981200044,0,-4.996111110614167,36.0
